ref,id,name,stage,recipe,fps,loop,xp_mode
A180,alticine-jumper,"Alticine Jumper",adult,BOB,4,pingpong,grow
A181,formicid-major,"Formicid Major",adult,STRIDE,4,loop,grow
A182,vespid-sovereign,"Vespid Sovereign",adult,FLAP,7,loop,grow
A183,arctiid-tigrine,"Arctiid Tigrine",adult,FLAP,7,loop,grow
A184,catocaline-underwing,"Catocaline Underwing",adult,FLAP,7,loop,grow
A185,pterophorid-plume,"Pterophorid Plume",adult,HOVER,5,loop,grow
A186,sphingid-swiftwing,"Sphingid Swiftwing",adult,FLAP,7,loop,grow
A187,hemileucid-ocellate,"Hemileucid Ocellate",adult,BLINK,5,pingpong,grow
A188,sesiid-vitreous,"Sesiid Vitreous",adult,FLAP,7,loop,grow
A189,hesperiid-skipper,"Hesperiid Skipper",adult,TWITCH,7,pingpong,grow
A190,lycaenid-azure,"Lycaenid Azure",adult,FLAP,7,loop,grow
A191,nymphalid-fritillate,"Nymphalid Fritillate",adult,FLAP,7,loop,grow
A192,morphine-iridescent,"Morphine Iridescent",adult,SPIN,7,loop,grow
A193,cerambycid-longicorn,"Cerambycid Longicorn",adult,TWITCH,7,pingpong,grow
A194,cassidine-tortoise,"Cassidine Tortoise",adult,BREATHE,4,pingpong,grow
A195,dytiscid-diver,"Dytiscid Diver",adult,STRIDE,4,loop,grow
A196,gyrinid-whirler,"Gyrinid Whirler",adult,STRIDE,4,loop,grow
A197,mantid-slender,"Mantid Slender",adult,THRASH,4,pingpong,grow
A198,myrmeleon-larval,"Myrmeleon Larval",adult,WOBBLE,4,pingpong,grow
A199,cicadid-broadhead,"Cicadid Broadhead",adult,BREATHE,4,pingpong,grow
A200,cercopid-frothspit,"Cercopid Frothspit",adult,BOB,4,pingpong,grow
A201,fulgorid-lantern,"Fulgorid Lantern",adult,RIPPLE,5,loop,grow
A202,scutellerid-jewelshield,"Scutellerid Jewelshield",adult,BREATHE,4,pingpong,grow
A203,nepid-ambusher,"Nepid Ambusher",adult,THRASH,4,pingpong,grow
A204,notonectid-rower,"Notonectid Rower",adult,STRIDE,4,loop,grow
A205,phasmid-elongate,"Phasmid Elongate",adult,SWAY,4,pingpong,grow
A206,membracid-thorned,"Membracid Thorned",adult,BOB,4,pingpong,grow
A207,pyralid-snouted,"Pyralid Snouted",adult,FLAP,7,loop,grow
A208,cynipid-gallformer,"Cynipid Gallformer",adult,TWITCH,7,pingpong,grow
A209,asilid-marauder,"Asilid Marauder",adult,HOVER,5,loop,grow
A210,oribatid-armoured,"Oribatid Armoured",adult,STRIDE,4,loop,grow
A211,myrmeleontid-nightdrift,"Myrmeleontid Nightdrift",adult,HOVER,5,loop,grow
A212,saturnia-scarabaeus-graft,"Saturnia-Scarabaeus Graft",adult,FLAP,7,loop,grow
A213,horus-mantid-chimera,"Horus-Mantid Chimera",adult,FLAP,7,loop,grow
A214,seraphim-volute-implant,"Seraphim-Volute Implant",adult,FLAP,7,loop,grow
A215,oraphim-ganglion-mosaic,"Oraphim-Ganglion Mosaic",adult,HOVER,5,loop,grow
A216,mandala-phasmid-graft,"Mandala-Phasmid Graft",adult,STRIDE,4,loop,grow
A218,encephalon-cerambyx-graft,"Encephalon-Cerambyx Graft",adult,RIPPLE,5,loop,grow
A219,hyaline-coccinella-chimera,"Hyaline-Coccinella Chimera",adult,FLAP,7,loop,grow
A220,filigree-gryllid-mosaic,"Filigree-Gryllid Mosaic",adult,FLAP,7,loop,grow
A222,iris-cicindela-graft,"Iris-Cicindela Graft",adult,STRIDE,4,loop,grow
A223,umbral-vespid-chimera,"Umbral-Vespid Chimera",adult,BLINK,5,pingpong,grow
A227,helix-curculio-mosaic,"Helix-Curculio Mosaic",adult,HOVER,5,loop,grow
A228,pareidolia-lucanus-chimera,"Pareidolia-Lucanus Chimera",adult,STRIDE,4,loop,grow
A230,synapse-elater-mosaic,"Synapse-Elater Mosaic",adult,RIPPLE,5,loop,grow
A231,aurora-mimetic-chimera,"Aurora-Mimetic Chimera",adult,FLAP,7,loop,grow
A233,anemone-formica-graft,"Anemone-Formica Graft",adult,HOVER,5,loop,grow
A234,empyrean-buprestid-mosaic,"Empyrean-Buprestid Mosaic",adult,STRIDE,4,loop,grow
A235,tessellate-vespa-chimera,"Tessellate-Vespa Chimera",adult,BLINK,5,pingpong,grow
A236,nebular-sphinx-graft,"Nebular-Sphinx Graft",adult,RIPPLE,5,loop,grow
